,"Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases","Measles - number of reported cases"
"Countries, territories and areas","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974"
"Fiji","","","","28","0","","5","","","","0","","0","1","0","0","136","","37","305","304","17","","","","828","39","414","39","425","969","","32","53","610","1075","385","152","827","313","902","1003","913","1621","441","2384","212","1026","1911"
"Iceland","0","0","0","9","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","1","1","2","7","8","8","10","14","23","11","14","132","374","162","39","14","24","13","32","240","2994","36","11","37"
"Tonga","","","","659","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","4","0","6","36","1081","0","0","","0","10","18","65","25","0","0","233","412","5","36","19","187","2336","523","17","84","2487","0","34"
